Amazon,,Apple,,Microsoft,
8/5/2016,38.299,8/5/2016,1/26/1900,8/5/2016,57.96
8/12/2016,38.628,8/12/2016,1/27/1900,8/12/2016,57.94
8/19/2016,37.866,8/19/2016,1/27/1900,8/19/2016,57.62
8/26/2016,38.45,8/26/2016,1/26/1900,8/26/2016,58.03
9/2/2016,38.622,9/2/2016,1/26/1900,9/2/2016,57.67
9/9/2016,38.007,9/9/2016,1/25/1900,9/9/2016,56.21
9/16/2016,38.926,9/16/2016,1/28/1900,9/16/2016,57.25
9/23/2016,40.288,9/23/2016,1/28/1900,9/23/2016,57.43
9/30/2016,41.866,9/30/2016,1/28/1900,9/30/2016,57.6
10/7/2016,41.972,10/7/2016,1/28/1900,10/7/2016,57.8
10/14/2016,41.148,10/14/2016,1/29/1900,10/14/2016,57.42
10/21/2016,40.95,10/21/2016,1/29/1900,10/21/2016,59.66
10/28/2016,38.816,10/28/2016,1/28/1900,10/28/2016,59.87
11/4/2016,37.753,11/4/2016,1/27/1900,11/4/2016,58.71
11/11/2016,36.951,11/11/2016,1/27/1900,11/11/2016,59.02
11/18/2016,38.008,11/18/2016,1/27/1900,11/18/2016,60.35
11/25/2016,39.019,11/25/2016,1/27/1900,11/25/2016,60.53
12/2/2016,37.017,12/2/2016,1/27/1900,12/2/2016,59.25
12/9/2016,38.433,12/9/2016,1/28/1900,12/9/2016,61.97
12/16/2016,37.889,12/16/2016,1/28/1900,12/16/2016,62.3
12/23/2016,38.03,12/23/2016,1/29/1900,12/23/2016,63.24
12/30/2016,37.494,12/30/2016,1/28/1900,12/30/2016,62.14
1/6/2017,39.8,1/6/2017,1/29/1900,1/6/2017,62.84
1/13/2017,40.857,1/13/2017,1/29/1900,1/13/2017,62.7
1/20/2017,40.417,1/20/2017,1/30/1900,1/20/2017,62.74
1/27/2017,41.789,1/27/2017,1/30/1900,1/27/2017,65.78
2/3/2017,40.51,2/3/2017,2/1/1900,2/3/2017,63.68
2/10/2017,41.373,2/10/2017,2/2/1900,2/10/2017,64
2/17/2017,42.254,2/17/2017,2/2/1900,2/17/2017,64.62
2/24/2017,42.262,2/24/2017,2/3/1900,2/24/2017,64.62
3/3/2017,42.494,3/3/2017,2/3/1900,3/3/2017,64.25
3/10/2017,42.623,3/10/2017,2/3/1900,3/10/2017,64.93
3/17/2017,42.616,3/17/2017,2/3/1900,3/17/2017,64.87
3/24/2017,42.281,3/24/2017,2/4/1900,3/24/2017,64.98
3/31/2017,44.327,3/31/2017,2/4/1900,3/31/2017,65.86
4/7/2017,44.744,4/7/2017,2/4/1900,4/7/2017,65.68
4/14/2017,44.234,4/14/2017,2/4/1900,4/14/2017,64.95
4/21/2017,44.927,4/21/2017,2/4/1900,4/21/2017,66.4
4/28/2017,46.25,4/28/2017,2/4/1900,4/28/2017,68.46
5/5/2017,46.707,5/5/2017,2/6/1900,5/5/2017,69
5/12/2017,48.068,5/12/2017,2/8/1900,5/12/2017,68.38
5/19/2017,47.992,5/19/2017,2/7/1900,5/19/2017,67.69
5/26/2017,49.789,5/26/2017,2/7/1900,5/26/2017,69.96
6/2/2017,50.337,6/2/2017,2/7/1900,6/2/2017,71.76
6/9/2017,48.915,6/9/2017,2/6/1900,6/9/2017,70.32
6/16/2017,49.386,6/16/2017,2/4/1900,6/16/2017,70
6/23/2017,50.187,6/23/2017,2/5/1900,6/23/2017,71.21
6/30/2017,48.4,6/30/2017,2/5/1900,6/30/2017,68.93
7/7/2017,48.938,7/7/2017,2/5/1900,7/7/2017,69.46
7/14/2017,50.091,7/14/2017,2/6/1900,7/14/2017,72.78
7/21/2017,51.284,7/21/2017,2/6/1900,7/21/2017,73.79
7/28/2017,51.002,7/28/2017,2/6/1900,7/28/2017,73.04
8/4/2017,49.379,8/4/2017,2/8/1900,8/4/2017,72.68
8/11/2017,48.4,8/11/2017,2/8/1900,8/11/2017,72.5
8/18/2017,47.924,8/18/2017,2/8/1900,8/18/2017,72.49
8/25/2017,47.263,8/25/2017,2/8/1900,8/25/2017,72.82
9/1/2017,48.913,9/1/2017,2/10/1900,9/1/2017,73.94
9/8/2017,48.295,9/8/2017,2/8/1900,9/8/2017,73.98
9/15/2017,49.34,9/15/2017,2/8/1900,9/15/2017,75.31
9/22/2017,47.755,9/22/2017,2/6/1900,9/22/2017,74.41
9/29/2017,48.068,9/29/2017,2/7/1900,9/29/2017,74.49
10/6/2017,49.479,10/6/2017,2/7/1900,10/6/2017,76
10/13/2017,50.147,10/13/2017,2/8/1900,10/13/2017,77.49
10/20/2017,49.146,10/20/2017,2/8/1900,10/20/2017,78.81
10/27/2017,55.048,10/27/2017,2/9/1900,10/27/2017,83.81
11/3/2017,55.58,11/3/2017,2/12/1900,11/3/2017,84.14
